id,from_stop,to_stop,distance_km,mean_travel_time,std_travel_time,p50_time,p90_time,p95_time,traffic_condition,lognormal_mu,lognormal_sigma
S001_S021,S001,S021,6.81,12.7,4.29,12.04,18.34,20.66,light,2.488,0.3283
S021_S001,S021,S001,6.81,12.93,4.0,12.35,18.2,20.31,light,2.5134,0.3027
S001_S022,S001,S022,16.255,26.66,4.87,26.23,33.09,35.34,normal,3.2668,0.1812
S022_S001,S022,S001,16.255,25.68,5.28,25.15,32.66,35.16,normal,3.2249,0.2037
S001_S023,S001,S023,9.229,15.48,3.0,15.2,19.44,20.85,normal,2.7213,0.1921
S023_S001,S023,S001,9.229,16.33,3.17,16.03,20.51,22.0,normal,2.7747,0.1922
S001_S026,S001,S026,7.43,16.77,2.62,16.57,20.23,21.4,normal,2.8076,0.1555
S026_S001,S026,S001,7.43,16.51,2.4,16.33,19.66,20.71,normal,2.7933,0.1444
S001_S027,S001,S027,12.92,19.25,5.07,18.62,25.95,28.51,normal,2.9241,0.259
S027_S001,S027,S001,12.92,18.68,5.23,17.99,25.58,28.27,normal,2.8898,0.2747
S001_S028,S001,S028,10.106,20.27,6.75,19.23,29.15,32.79,normal,2.9567,0.3242
S028_S001,S028,S001,10.106,19.11,6.26,18.16,27.35,30.71,normal,2.8994,0.3193
S001_S031,S001,S031,8.809,19.34,4.98,18.72,25.92,28.42,heavy,2.9298,0.2537
S031_S001,S031,S001,8.809,20.57,4.88,20.01,27.02,29.42,heavy,2.9963,0.2342
S001_S032,S001,S032,15.851,36.04,12.6,34.03,52.58,59.48,normal,3.5271,0.3395
S032_S001,S032,S001,15.851,36.01,13.24,33.79,53.35,60.71,normal,3.5202,0.3562
S001_S033,S001,S033,16.062,33.17,5.99,32.64,41.07,43.83,heavy,3.4856,0.1791
S033_S001,S033,S001,16.062,34.72,5.9,34.23,42.49,45.17,heavy,3.5331,0.1686
S001_S036,S001,S036,7.509,26.14,5.92,25.49,33.95,36.82,heavy,3.2384,0.2235
S036_S001,S036,S001,7.509,26.26,6.47,25.5,34.81,38.02,heavy,3.2386,0.2429
S001_S037,S001,S037,11.664,17.85,2.72,17.64,21.42,22.63,normal,2.8703,0.1514
S037_S001,S037,S001,11.664,16.75,2.93,16.5,20.6,21.94,normal,2.8031,0.1735
S001_S038,S001,S038,15.325,24.84,7.54,23.77,34.78,38.74,normal,3.1683,0.297
S038_S001,S038,S001,15.325,23.3,7.45,22.19,33.1,37.07,normal,3.0996,0.3119
S001_S041,S001,S041,6.302,12.17,4.15,11.52,17.62,19.87,normal,2.4439,0.3314
S041_S001,S041,S001,6.302,13.09,4.36,12.41,18.82,21.18,normal,2.5189,0.3247
S001_S042,S001,S042,17.088,31.89,5.46,31.43,39.08,41.57,normal,3.4477,0.17
S042_S001,S042,S001,17.088,30.86,5.61,30.36,38.26,40.85,normal,3.4131,0.1804
S001_S043,S001,S043,13.779,32.65,5.9,32.13,40.43,43.14,heavy,3.4699,0.1791
S043_S001,S043,S001,13.779,32.86,6.22,32.28,41.07,43.97,heavy,3.4746,0.1878
S001_S046,S001,S046,8.373,15.41,2.31,15.24,18.45,19.48,normal,2.7237,0.1493
S046_S001,S046,S001,8.373,15.38,2.13,15.23,18.18,19.12,normal,2.7235,0.1381
S001_S047,S001,S047,13.826,28.35,9.84,26.78,41.27,46.64,normal,3.2878,0.3372
S047_S001,S047,S001,13.826,27.17,9.33,25.7,39.43,44.51,normal,3.2464,0.3339
S001_S048,S001,S048,14.312,25.75,4.27,25.4,31.37,33.3,normal,3.2349,0.1646
S048_S001,S048,S001,14.312,25.69,3.9,25.4,30.82,32.56,normal,3.2348,0.1509
S001_S051,S001,S051,4.616,7.44,2.26,7.12,10.42,11.6,normal,1.9632,0.2965
S051_S001,S051,S001,4.616,7.63,2.46,7.26,10.87,12.18,normal,1.983,0.3141
S001_S052,S001,S052,7.06,22.6,5.78,21.9,30.23,33.12,heavy,3.0864,0.2515
S052_S001,S052,S001,7.06,24.28,6.27,23.51,32.56,35.71,heavy,3.1574,0.2541
S001_S053,S001,S053,8.39,13.57,3.91,13.04,18.72,20.74,normal,2.5678,0.2823
S053_S001,S053,S001,8.39,13.35,4.04,12.78,18.67,20.79,normal,2.5475,0.2961
S001_S056,S001,S056,8.862,24.36,8.04,23.13,34.93,39.25,heavy,3.1412,0.3214
S056_S001,S056,S001,8.862,22.88,7.59,21.71,32.87,36.96,heavy,3.078,0.3233
S001_S057,S001,S057,13.993,39.41,10.55,38.07,53.33,58.67,heavy,3.6393,0.263
S057_S001,S057,S001,13.993,39.96,9.51,38.88,52.52,57.19,heavy,3.6605,0.2346
S001_S058,S001,S058,8.928,12.59,2.04,12.43,15.28,16.19,light,2.5203,0.1607
S058_S001,S058,S001,8.928,13.41,2.18,13.24,16.29,17.27,light,2.583,0.1618
S001_S061,S001,S061,7.951,27.5,5.43,26.98,34.67,37.23,heavy,3.2951,0.1957
S061_S001,S061,S001,7.951,26.24,5.03,25.77,32.89,35.24,heavy,3.2494,0.1901
S001_S062,S001,S062,10.7,15.77,4.17,15.25,21.27,23.38,normal,2.7244,0.2598
S062_S001,S062,S001,10.7,15.12,4.14,14.58,20.59,22.7,normal,2.6799,0.2691
S001_S063,S001,S063,13.484,26.84,4.53,26.47,32.82,34.87,normal,3.2759,0.1677
S063_S001,S063,S001,13.484,26.55,4.46,26.18,32.43,34.45,normal,3.2649,0.167
S001_S066,S001,S066,6.994,11.38,3.37,10.91,15.82,17.58,light,2.3901,0.2896
S066_S001,S066,S001,6.994,10.58,3.52,10.04,15.21,17.11,light,2.3066,0.324
S001_S067,S001,S067,12.276,26.16,4.5,25.78,32.08,34.13,heavy,3.2496,0.1706
S067_S001,S067,S001,12.276,24.86,4.45,24.47,30.73,32.77,heavy,3.1976,0.1775
S001_S068,S001,S068,13.211,35.16,7.23,34.44,44.71,48.14,heavy,3.5391,0.2036
S068_S001,S068,S001,13.211,37.26,6.62,36.69,45.99,49.03,heavy,3.6025,0.1762
S001_S071,S001,S071,2.038,2.72,0.87,2.59,3.87,4.34,light,0.9528,0.3133
S071_S001,S071,S001,2.038,2.53,0.96,2.36,3.79,4.33,light,0.8596,0.3678
S001_S072,S001,S072,9.147,14.17,4.87,13.4,20.57,23.23,normal,2.5955,0.3342
S072_S001,S072,S001,9.147,13.42,4.86,12.62,19.78,22.47,normal,2.5349,0.351
S001_S073,S001,S073,9.333,18.11,4.17,17.65,23.62,25.65,light,2.8709,0.2272
S073_S001,S073,S001,9.333,17.14,3.75,16.75,22.1,23.91,light,2.8181,0.2165
S002_S003,S002,S003,15.486,31.17,10.45,29.55,44.91,50.56,normal,3.3862,0.3264
S003_S002,S003,S002,15.486,30.1,10.86,28.31,44.34,50.34,normal,3.3433,0.3499
S002_S005,S002,S005,8.759,19.38,5.94,18.53,27.21,30.34,heavy,2.9193,0.2998
S005_S002,S005,S002,8.759,18.31,5.7,17.48,25.82,28.83,heavy,2.8611,0.3042
S002_S007,S002,S007,4.659,5.74,1.53,5.55,7.76,8.53,light,1.7137,0.2613
S007_S002,S007,S002,4.659,5.97,1.39,5.81,7.81,8.49,light,1.7603,0.23
S002_S008,S002,S008,15.417,27.46,6.88,26.64,36.55,39.98,normal,3.2823,0.2468
S008_S002,S008,S002,15.417,25.96,7.52,24.93,35.87,39.76,normal,3.2162,0.2837
S002_S010,S002,S010,13.702,34.83,6.52,34.24,43.44,46.47,normal,3.5334,0.1856
S010_S002,S010,S002,13.702,32.43,6.99,31.7,41.66,45.01,normal,3.4562,0.2132
S002_S012,S002,S012,7.389,14.74,4.99,13.96,21.29,24.0,normal,2.6364,0.3292
S012_S002,S012,S002,7.389,14.93,4.53,14.28,20.9,23.27,normal,2.6592,0.2967
S002_S013,S002,S013,14.408,36.57,10.29,35.2,50.15,55.44,normal,3.5611,0.2761
S013_S002,S013,S002,14.408,36.7,11.19,35.11,51.45,57.33,normal,3.5584,0.2981
S002_S015,S002,S015,15.794,49.04,14.38,47.06,68.01,75.49,heavy,3.8515,0.2872
S015_S002,S015,S002,15.794,47.21,13.32,45.43,64.78,71.63,heavy,3.8162,0.2768
S002_S016,S002,S016,11.606,26.93,6.5,26.18,35.52,38.72,heavy,3.2649,0.238
S016_S002,S016,S002,11.606,24.82,6.66,23.97,33.61,36.98,heavy,3.1767,0.2637
S002_S017,S002,S017,8.66,15.62,2.66,15.4,19.12,20.33,normal,2.7344,0.1688
S017_S002,S017,S002,8.66,15.64,2.46,15.45,18.88,19.98,normal,2.7374,0.1564
S002_S018,S002,S018,17.447,48.76,7.99,48.12,59.29,62.89,heavy,3.8738,0.1627
S018_S002,S018,S002,17.447,47.75,7.44,47.18,57.54,60.87,heavy,3.8539,0.1549
S002_S022,S002,S022,7.38,9.73,2.83,9.34,13.46,14.93,light,2.2348,0.2848
S022_S002,S022,S002,7.38,9.99,2.86,9.61,13.77,15.24,light,2.2625,0.2806
S002_S023,S002,S023,15.749,31.39,5.36,30.94,38.46,40.9,heavy,3.4322,0.1695
S023_S002,S023,S002,15.749,30.21,5.78,29.67,37.83,40.53,heavy,3.3902,0.1895
S002_S026,S002,S026,13.021,21.2,3.84,20.86,26.27,28.03,normal,3.038,0.1796
S026_S002,S026,S002,13.021,21.56,4.01,21.2,26.84,28.7,normal,3.0538,0.1843
S002_S027,S002,S027,3.153,7.26,2.01,6.99,9.91,10.94,normal,1.9449,0.2718
S027_S002,S027,S002,3.153,7.26,1.91,7.02,9.78,10.75,normal,1.9493,0.2585
S002_S028,S002,S028,14.015,20.94,3.35,20.67,25.35,26.86,normal,3.0288,0.1591
S028_S002,S028,S002,14.015,20.68,3.2,20.44,24.9,26.33,normal,3.0173,0.154
S002_S030,S002,S030,16.442,44.7,13.6,42.76,62.62,69.76,normal,3.7557,0.2975
S030_S002,S030,S002,16.442,48.13,12.68,46.54,64.87,71.26,normal,3.8403,0.259
S002_S031,S002,S031,17.591,34.23,9.96,32.86,47.37,52.53,normal,3.4923,0.2852
S031_S002,S031,S002,17.591,31.54,9.12,30.3,43.57,48.29,normal,3.4112,0.2833
S002_S032,S002,S032,6.968,8.96,2.96,8.51,12.86,14.45,light,2.1408,0.3222
S032_S002,S032,S002,6.968,9.44,3.01,8.99,13.41,15.01,light,2.1964,0.3115
S002_S035,S002,S035,8.172,19.64,3.45,19.35,24.19,25.77,normal,2.9626,0.1742
S035_S002,S035,S002,8.172,19.22,3.75,18.86,24.16,25.92,normal,2.9372,0.1931
S002_S037,S002,S037,5.261,7.62,1.2,7.52,9.2,9.74,normal,2.0179,0.157
S037_S002,S037,S002,5.261,7.26,1.14,7.17,8.77,9.28,normal,1.9705,0.1564
S002_S040,S002,S040,13.392,33.4,10.22,31.94,46.87,52.25,normal,3.4639,0.2992
S040_S002,S040,S002,13.392,35.93,10.73,34.43,50.09,55.69,normal,3.539,0.2923
S002_S041,S002,S041,11.211,22.41,4.42,21.99,28.25,30.33,heavy,3.0906,0.1955
S041_S002,S041,S002,11.211,24.12,4.7,23.68,30.32,32.52,heavy,3.1645,0.193
S002_S042,S002,S042,10.854,16.43,2.55,16.24,19.79,20.92,normal,2.7875,0.154
S042_S002,S042,S002,10.854,17.55,2.69,17.35,21.09,22.29,normal,2.8534,0.1524
S002_S043,S002,S043,16.033,31.82,9.04,30.61,43.74,48.39,normal,3.4212,0.2785
S043_S002,S043,S002,16.033,33.4,8.61,32.34,44.78,49.1,normal,3.4763,0.2538
S002_S045,S002,S045,8.615,11.64,2.0,11.47,14.27,15.18,light,2.4399,0.1704
S045_S002,S045,S002,8.615,12.31,1.89,12.17,14.79,15.63,light,2.4986,0.1524
S002_S046,S002,S046,12.643,19.79,4.79,19.23,26.12,28.48,normal,2.9567,0.2386
S046_S002,S046,S002,12.643,20.81,5.15,20.2,27.6,30.16,normal,3.0055,0.2437
S002_S047,S002,S047,4.53,13.87,3.91,13.35,19.03,21.04,heavy,2.5913,0.2766
S047_S002,S047,S002,4.53,13.49,4.2,12.88,19.01,21.23,heavy,2.5555,0.3039
S002_S048,S002,S048,16.203,23.52,4.84,23.03,29.91,32.2,normal,3.137,0.2037
S048_S002,S048,S002,16.203,23.55,5.01,23.04,30.17,32.57,normal,3.1371,0.2105
S002_S051,S002,S051,15.955,33.24,7.19,32.49,42.74,46.19,heavy,3.481,0.2138
S051_S002,S051,S002,15.955,31.2,7.86,30.25,41.59,45.51,heavy,3.4096,0.2482
S002_S052,S002,S052,5.812,13.64,4.67,12.9,19.77,22.31,normal,2.5573,0.3331
S052_S002,S052,S002,5.812,12.63,4.76,11.82,18.86,21.52,normal,2.4696,0.3645
S002_S053,S002,S053,12.537,26.02,7.99,24.87,36.55,40.76,normal,3.2136,0.3004
S053_S002,S053,S002,12.537,26.46,8.01,25.32,37.02,41.22,normal,3.2317,0.2962
S002_S055,S002,S055,9.726,19.65,5.21,18.99,26.53,29.16,normal,2.9438,0.2608
S055_S002,S055,S002,9.726,18.21,5.15,17.53,25.0,27.65,normal,2.8637,0.2771
S002_S056,S002,S056,15.809,29.28,9.11,27.96,41.28,46.1,normal,3.3306,0.3041
S056_S002,S056,S002,15.809,30.31,9.56,28.9,42.89,47.97,normal,3.364,0.3079
S002_S057,S002,S057,7.042,10.14,2.26,9.9,13.13,14.22,light,2.2925,0.2201
S057_S002,S057,S002,7.042,10.87,2.45,10.6,14.11,15.29,light,2.3613,0.2226
S002_S058,S002,S058,14.063,33.05,9.34,31.81,45.39,50.19,heavy,3.4597,0.2773
S058_S002,S058,S002,14.063,34.21,8.97,33.1,46.06,50.58,heavy,3.4994,0.2578
S002_S062,S002,S062,5.822,16.73,3.88,16.3,21.85,23.75,heavy,2.7912,0.2287
S062_S002,S062,S002,5.822,17.26,3.92,16.83,22.44,24.34,heavy,2.8232,0.2242
S002_S063,S002,S063,17.661,41.01,11.61,39.46,56.33,62.31,normal,3.6754,0.2776
S063_S002,S063,S002,17.661,42.18,12.54,40.43,58.71,65.26,normal,3.6995,0.2911
S002_S066,S002,S066,17.458,30.53,6.42,29.88,39.0,42.06,normal,3.3971,0.2079
S066_S002,S066,S002,17.458,32.16,6.17,31.58,40.29,43.17,normal,3.4526,0.19
S002_S067,S002,S067,3.597,8.24,2.53,7.87,11.57,12.9,normal,2.0634,0.3003
S067_S002,S067,S002,3.597,8.19,2.5,7.83,11.48,12.8,normal,2.0583,0.2985
S002_S068,S002,S068,14.229,32.49,7.95,31.56,43.0,46.93,normal,3.452,0.2411
S068_S002,S068,S002,14.229,30.78,7.29,29.95,40.4,43.98,normal,3.3994,0.2336
S002_S070,S002,S070,12.519,23.25,6.43,22.41,31.74,35.02,normal,3.1094,0.2715
S070_S002,S070,S002,12.519,21.74,7.01,20.69,30.96,34.71,normal,3.0295,0.3146
S002_S071,S002,S071,11.349,34.43,7.3,33.68,44.08,47.57,heavy,3.517,0.2098
S071_S002,S071,S002,11.349,32.49,6.64,31.83,41.26,44.4,heavy,3.4605,0.2023
S002_S072,S002,S072,8.196,10.03,2.73,9.68,13.63,15.02,light,2.2698,0.2674
S072_S002,S072,S002,8.196,9.96,2.94,9.55,13.84,15.37,light,2.2565,0.2892
S002_S073,S002,S073,15.118,27.07,7.95,25.97,37.55,41.68,normal,3.2569,0.2876
S073_S002,S073,S002,15.118,27.04,7.54,26.05,37.0,40.86,normal,3.2599,0.2737
S003_S004,S003,S004,6.535,9.49,1.43,9.38,11.38,12.02,light,2.239,0.1503
S004_S003,S004,S003,6.535,9.91,1.35,9.82,11.69,12.28,light,2.2846,0.1359
S003_S006,S003,S006,16.866,26.57,7.68,25.53,36.71,40.69,normal,3.2397,0.2834
S006_S003,S006,S003,16.866,24.66,7.3,23.65,34.29,38.09,normal,3.1632,0.2898
S003_S007,S003,S007,11.238,17.3,4.18,16.82,22.82,24.88,normal,2.8227,0.2379
S007_S003,S007,S003,11.238,17.77,4.58,17.2,23.82,26.12,normal,2.8452,0.2538
S003_S008,S003,S008,1.467,3.5,1.19,3.32,5.07,5.72,heavy,1.1991,0.3308
S008_S003,S008,S003,1.467,3.57,1.24,3.37,5.2,5.88,heavy,1.2143,0.3387
S003_S009,S003,S009,8.483,21.41,6.77,20.41,30.32,33.91,heavy,3.0161,0.3086
S009_S003,S009,S003,8.483,22.77,7.1,21.74,32.12,35.87,heavy,3.079,0.3045
S003_S012,S003,S012,14.015,36.05,7.28,35.33,45.65,49.08,heavy,3.5648,0.1998
S012_S003,S012,S003,14.015,38.01,6.95,37.39,47.17,50.39,heavy,3.6213,0.1814
S003_S013,S003,S013,5.72,9.14,2.26,8.87,12.12,13.24,normal,2.1829,0.2433
S013_S003,S013,S003,5.72,8.81,2.07,8.58,11.54,12.55,normal,2.149,0.2314
S003_S014,S003,S014,14.722,31.87,6.51,31.23,40.47,43.56,normal,3.4413,0.2023
S014_S003,S014,S003,14.722,33.88,5.97,33.36,41.74,44.48,normal,3.5074,0.1748
S003_S016,S003,S016,6.073,14.56,3.3,14.21,18.93,20.53,normal,2.6536,0.2238
S016_S003,S016,S003,6.073,15.05,3.01,14.75,19.02,20.44,normal,2.6914,0.1983
S003_S017,S003,S017,6.831,18.35,4.74,17.77,24.62,27.0,heavy,2.8773,0.2544
S017_S003,S017,S003,6.831,17.06,5.06,16.36,23.74,26.38,heavy,2.7949,0.2903
S003_S018,S003,S018,6.088,10.42,3.17,9.97,14.6,16.26,light,2.2999,0.2973
S018_S003,S018,S003,6.088,11.02,3.34,10.55,15.42,17.17,light,2.3557,0.2962
S003_S019,S003,S019,4.624,9.37,1.42,9.26,11.23,11.86,normal,2.2262,0.1503
S019_S003,S019,S003,4.624,9.07,1.39,8.96,10.89,11.51,normal,2.1932,0.1519
S003_S022,S003,S022,12.208,18.39,5.83,17.53,26.07,29.17,normal,2.8638,0.3096
S022_S003,S022,S003,12.208,19.12,5.89,18.27,26.87,29.97,normal,2.9053,0.3009
S003_S023,S003,S023,6.708,11.82,2.29,11.6,14.84,15.91,normal,2.4509,0.1923
S023_S003,S023,S003,6.708,11.39,2.29,11.16,14.41,15.49,normal,2.4127,0.1989
S003_S024,S003,S024,10.435,21.03,5.97,20.23,28.9,31.97,normal,3.0071,0.2783
S024_S003,S024,S003,10.435,21.78,6.37,20.9,30.18,33.49,normal,3.0399,0.2866
S003_S026,S003,S026,6.927,8.75,3.03,8.26,12.72,14.37,light,2.112,0.3364
S026_S003,S026,S003,6.927,9.32,3.08,8.84,13.37,15.03,light,2.1797,0.3224
S003_S027,S003,S027,13.145,22.37,3.73,22.06,27.28,28.97,normal,3.0939,0.1656
S027_S003,S027,S003,13.145,21.06,3.7,20.75,25.95,27.64,normal,3.0324,0.1744
S003_S028,S003,S028,4.287,11.18,2.53,10.91,14.52,15.74,normal,2.3894,0.223
S028_S003,S028,S003,4.287,11.1,2.44,10.84,14.33,15.51,normal,2.3834,0.2175
S003_S029,S003,S029,6.961,14.24,2.93,13.95,18.1,19.49,heavy,2.6353,0.2035
S029_S003,S029,S003,6.961,13.68,2.68,13.42,17.22,18.48,heavy,2.5967,0.1944
S003_S031,S003,S031,9.686,25.96,6.69,25.14,34.8,38.16,normal,3.2244,0.2537
S031_S003,S031,S003,9.686,24.81,6.12,24.09,32.89,35.93,normal,3.1819,0.2429
S003_S032,S003,S032,12.147,23.91,3.78,23.62,28.89,30.59,heavy,3.1621,0.1571
S032_S003,S032,S003,12.147,25.63,3.55,25.39,30.3,31.86,heavy,3.2344,0.1379
S003_S033,S003,S033,5.205,13.94,2.52,13.72,17.25,18.41,normal,2.6186,0.179
S033_S003,S033,S003,5.205,13.88,2.32,13.69,16.94,17.99,normal,2.6166,0.1661
S003_S034,S003,S034,16.323,23.91,5.81,23.24,31.59,34.46,normal,3.1458,0.2395
S034_S003,S034,S003,16.323,24.94,5.43,24.37,32.1,34.71,normal,3.1932,0.2151
S003_S037,S003,S037,10.409,24.69,7.4,23.65,34.45,38.31,heavy,3.1635,0.2932
S037_S003,S037,S003,10.409,25.79,6.9,24.91,34.9,38.39,heavy,3.2154,0.2629
S003_S038,S003,S038,5.029,10.69,2.84,10.33,14.44,15.88,normal,2.3354,0.2612
S038_S003,S038,S003,5.029,10.82,3.07,10.41,14.88,16.46,normal,2.3428,0.2785
S003_S039,S003,S039,13.211,36.27,12.27,34.35,52.39,59.04,heavy,3.5367,0.3292
S039_S003,S039,S003,13.211,33.81,12.74,31.64,50.47,57.6,heavy,3.4543,0.3643
S003_S041,S003,S041,7.937,13.79,2.35,13.59,16.88,17.95,normal,2.6093,0.1692
S041_S003,S041,S003,7.937,14.56,2.4,14.37,17.71,18.8,normal,2.6648,0.1635
S003_S042,S003,S042,9.201,19.21,6.66,18.15,27.96,31.6,light,2.8989,0.337
S042_S003,S042,S003,9.201,18.75,6.57,17.69,27.36,30.96,light,2.873,0.3403
S003_S043,S003,S043,1.205,2.46,0.62,2.38,3.27,3.58,normal,0.8689,0.2474
S043_S003,S043,S003,1.205,2.27,0.61,2.19,3.07,3.38,normal,0.7837,0.2634
S003_S044,S003,S044,7.573,14.29,3.38,13.9,18.75,20.41,normal,2.6321,0.2335
S044_S003,S044,S003,7.573,14.6,3.6,14.17,19.36,21.15,normal,2.6512,0.2433
S003_S046,S003,S046,5.841,9.7,2.3,9.43,12.73,13.86,normal,2.2443,0.2339
S046_S003,S046,S003,5.841,9.88,2.49,9.58,13.17,14.41,normal,2.2592,0.2484
S003_S047,S003,S047,12.536,20.06,4.87,19.49,26.5,28.91,normal,2.9701,0.2395
S047_S003,S047,S003,12.536,20.36,4.7,19.84,26.57,28.86,normal,2.9875,0.2279
S003_S048,S003,S048,0.883,1.97,0.66,1.87,2.84,3.2,normal,0.6242,0.3279
S048_S003,S048,S003,0.883,2.09,0.63,2.0,2.92,3.25,normal,0.6938,0.2947
S003_S049,S003,S049,7.443,19.27,5.24,18.59,26.19,28.85,heavy,2.9227,0.2672
S049_S003,S049,S003,7.443,18.76,5.24,18.07,25.67,28.35,heavy,2.8943,0.2738
S003_S052,S003,S052,11.481,24.17,5.98,23.46,32.07,35.04,normal,3.1554,0.2438
S052_S003,S052,S003,11.481,25.32,5.79,24.68,32.97,35.79,normal,3.2061,0.2258
S003_S053,S003,S053,5.815,8.81,2.56,8.46,12.18,13.51,normal,2.1353,0.2844
S053_S003,S053,S003,5.815,8.89,2.57,8.54,12.27,13.6,normal,2.1446,0.2829
S003_S054,S003,S054,5.875,18.43,3.65,18.08,23.26,24.98,heavy,2.8948,0.1964
S054_S003,S054,S003,5.875,18.4,3.84,18.01,23.47,25.3,heavy,2.8909,0.2067
S003_S056,S003,S056,7.239,16.37,4.57,15.77,22.41,24.75,heavy,2.7581,0.274
S056_S003,S056,S003,7.239,16.24,4.13,15.74,21.69,23.76,heavy,2.756,0.2504
S003_S057,S003,S057,9.991,21.5,4.96,20.95,28.06,30.47,normal,3.042,0.2279
S057_S003,S057,S003,9.991,20.83,5.04,20.25,27.5,29.98,normal,3.008,0.2387
S003_S058,S003,S058,5.689,14.64,3.75,14.19,19.6,21.48,heavy,2.6523,0.2521
S058_S003,S058,S003,5.689,15.81,3.79,15.37,20.81,22.68,heavy,2.7326,0.2364
S003_S059,S003,S059,13.731,28.37,6.83,27.59,37.4,40.76,normal,3.3173,0.2374
S059_S003,S059,S003,13.731,27.25,6.31,26.54,35.58,38.66,normal,3.2787,0.2287
S003_S062,S003,S062,9.669,22.44,3.9,22.11,27.58,29.37,normal,3.0959,0.1726
S062_S003,S062,S003,9.669,21.33,4.09,20.95,26.73,28.63,normal,3.0422,0.1899
S003_S063,S003,S063,3.807,8.3,2.22,8.01,11.23,12.36,normal,2.0812,0.2633
S063_S003,S063,S003,3.807,8.93,2.37,8.64,12.06,13.26,normal,2.1559,0.2608
S003_S064,S003,S064,6.884,14.79,3.29,14.44,19.13,20.72,normal,2.67,0.2195
S064_S003,S064,S003,6.884,13.64,3.31,13.26,18.01,19.64,normal,2.5845,0.2391
S003_S066,S003,S066,12.175,26.58,9.17,25.12,38.61,43.61,normal,3.2238,0.3352
S066_S003,S066,S003,12.175,25.69,9.98,23.95,38.73,44.37,normal,3.176,0.3748
S003_S067,S003,S067,12.295,28.65,8.61,27.44,40.01,44.51,heavy,3.312,0.2941
S067_S003,S067,S003,12.295,30.36,8.74,29.18,41.89,46.41,heavy,3.3734,0.2821
S003_S068,S003,S068,1.278,2.44,0.58,2.38,3.21,3.5,normal,0.8658,0.2348
S068_S003,S068,S003,1.278,2.63,0.55,2.57,3.36,3.62,normal,0.9435,0.2083
S003_S069,S003,S069,9.874,12.84,2.22,12.65,15.76,16.77,light,2.5375,0.1715
S069_S003,S069,S003,9.874,12.63,2.03,12.47,15.3,16.22,light,2.5234,0.1596
S003_S071,S003,S071,12.179,28.52,4.58,28.16,34.56,36.62,heavy,3.3379,0.1597
S071_S003,S071,S003,12.179,29.94,5.0,29.53,36.52,38.79,heavy,3.3855,0.1657
S003_S072,S003,S072,7.62,26.04,5.2,25.53,32.9,35.35,heavy,3.24,0.1977
S072_S003,S072,S003,7.62,26.48,5.5,25.93,33.74,36.36,heavy,3.2553,0.2055
S003_S073,S003,S073,5.961,18.21,4.64,17.65,24.33,26.65,heavy,2.8707,0.2505
S073_S003,S073,S003,5.961,19.4,4.45,18.91,25.28,27.44,heavy,2.9398,0.2263
S003_S074,S003,S074,11.97,21.27,5.01,20.7,27.89,30.35,normal,3.0301,0.2326
S074_S003,S074,S003,11.97,21.68,5.12,21.1,28.45,30.96,normal,3.0492,0.2332
