stop_id,stop_name,latitude,longitude,student_count,attendance_probability,pickup_window_start,pickup_window_end,dropoff_window_start,dropoff_window_end,service_time_minutes,priority,historical_delay_probability,zone,is_active
S059,Besant Nagar Beach Road,12.901853,80.262914,10,0.81,07:15,08:00,13:30,14:30,2.5,2,0.102,D,True
S060,Thiruvanmiyur 5th Ave,12.922809,80.104439,10,0.55,06:45,07:30,13:30,14:30,2.8,3,0.168,E,True
S061,ECR Kottivakkam,13.191039,80.258963,7,0.71,06:15,07:00,13:30,14:30,3.2,1,0.031,A,True
S062,Palavakkam Beach,13.062316,80.153071,5,0.86,06:30,07:15,13:30,14:30,2.3,2,0.068,B,True
S063,Neelankarai Signal,13.039571,80.261833,12,0.6,07:00,07:45,13:30,14:30,3.9,3,0.087,C,True
S064,Injambakkam Road,12.96222,80.213922,13,0.68,07:15,08:00,13:30,14:30,1.5,1,0.108,D,True
S065,Kovalam Junction,12.925222,80.178576,13,0.83,06:45,07:30,13:30,14:30,2.6,1,0.094,E,True
S066,Mylapore Tank,13.126676,80.263499,16,0.87,06:15,07:00,13:30,14:30,2.2,3,0.125,A,True
S067,Luz Corner,13.063294,80.126815,17,0.96,06:30,07:15,13:30,14:30,2.3,1,0.058,B,True
S068,Royapettah Hospital Road,13.028841,80.222773,11,0.81,07:00,07:45,13:30,14:30,2.6,3,0.143,C,True
S069,Triplicane Market,12.936351,80.257468,10,0.76,07:15,08:00,13:30,14:30,3.1,1,0.059,D,True
S070,Mannady Junction,13.007119,80.186044,18,0.6,06:45,07:30,13:30,14:30,1.9,3,0.088,E,True
S071,George Town Post Office,13.127694,80.204017,7,0.94,06:15,07:00,13:30,14:30,1.8,2,0.039,A,True
S072,Washermanpet Junction,13.066758,80.179031,13,0.69,06:30,07:15,13:30,14:30,2.6,3,0.141,B,True
S073,Tondiarpet North,13.073521,80.245604,18,0.79,07:00,07:45,13:30,14:30,3.4,2,0.164,C,True
S074,Ennore Expressway,12.91751,80.260142,17,0.82,07:15,08:00,13:30,14:30,2.8,3,0.143,D,True
S075,Madhavaram Milk Colony,12.92871,80.143987,15,0.67,06:45,07:30,13:30,14:30,2.3,2,0.063,E,True
